id,uuid,question,assessment_id,user_id,options,correct_answer,question_score,class_id,subject_id,is_synced,created_at,updated_at
18,680ff660-efa3-4fe4-b306-71a2eb6aee1b,"Requirement necessary for incision and drainage includes all except ",1,1,"[""A pack containing: Scalpel, forceps, clips, 2 gallipots"", ""Injection tray: surgical blade and gloves"", ""Binder and strapping in reciever "", ""Venopuncture""]",Venopuncture,1,2,1,0,"2023-09-18 10:11:13","2023-09-18 10:11:13"
19,dbf794e9-7ea6-4136-959b-ac8770cb2161,"The circumcision of the male baby is a generally accepted practice and is recommended by a majority of _______ ",1,1,"[""Midwives"", ""Obstetricians "", ""Paediatricians "", ""Physicians ""]","Physicians ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
20,510af02a-390c-40f8-89ae-faa113096ef6,"Circumcision is probably the _______ oldest surgical operation ",1,1,"[""Second "", ""First"", ""Third"", ""Sixth""]","Second ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
21,8eb3499c-7aef-4dfe-898e-fcb0c22dd3de,"_______ of the parents must be obtained and the baby correctly ______ at the time of operation (circumcision)",1,1,"[""Written consent, prepared"", ""Oral consent, circumcise"", ""Written consent, identified"", ""Oral consent, focused""]","Written consent, identified",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
22,6016255c-e756-48ce-91fc-89417f570635,"The circumcision is performed on the ______ day",1,1,"[""Ninth"", ""Tenth"", ""Seventh"", ""Eighth""]",Eighth,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
23,d9eaef16-fbcf-4b1c-90e2-5c1f2bbed7ed,"The circumcision is completed by cutting off the ________",1,1,"[""Mucosa"", ""Tissue"", ""Prepuce"", ""Peneal""]",Prepuce,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
24,05ff8b68-62fa-4105-9c99-ddca8115ff25,"Hospital acquired infection (HAI) is also called ______",1,1,"[""Nosocomial infection"", ""Infection acquired in hospital"", ""Hospital manifested infection "", ""Infection acquired after discharge ""]","Nosocomial infection",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
25,e44474f1-bf2e-44aa-8bdf-303c61f0b146,"Three major sites of infection related to asepsis are _____ except ",1,1,"[""Urinary tract infection "", ""surgical wound infection "", ""Skin infection"", ""Oral infection ""]","Oral infection ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
26,f71ba5f4-5c38-4b97-8b4f-a1fdf867e0a5,"Hospital acquired infection inceease all except",1,1,"[""Morbidity and mortality "", ""Causes inceease in pain "", ""Suffering experience by the patient "", ""Growth""]",Growth,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
27,52268544-e32c-4d71-b5ac-dc912609d8d9,"Hand washing can be achieved by the methods except ",1,1,"[""Soap and water are effective in removing physical dirt or soiling and transient microorganisms "", ""Antimicrobial detergent is effective in removing dirt and  soiling "", ""Alcohol based handrub is more effective destroying transient bacteria "", ""Deter is effective in removing dirt""]","Deter is effective in removing dirt",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
28,ff6739a1-2160-40a6-b13d-ffc7ee361552,"A traceability system means that the ______ and ______ process can be checked ",1,1,"[""Cleaning, packing and sterilization"", ""Electric, air drying and disposable "", ""Hygiene, shower and chlorhexidine"", ""Riddor, hygiene and powder-free gloves ""]","Cleaning, packing and sterilization",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
29,79cbfe71-c348-47e0-a87a-a9ed52c34d76,"When using the pack, it must be checked for conformance. This include all except",1,1,"[""Whether the steam indicator  has changed color"", ""The product is in date if"", ""It is undamaged"", ""Washing is undertaken ""]","Washing is undertaken ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
30,04784d06-8c84-4d7b-82d4-d6ffbe0f8121,"Colposcopy is a medical diagnostic procedure to visually examine the ______",1,1,"[""Anus"", ""Vagina"", ""Cervix"", ""Mouth""]",Cervix,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
31,2d1a7743-1484-4cfe-8bf3-5232d25a3821,"An imaging method that uses high frequency sound waves to produce images of structures within the body is called ",1,1,"[""Coloscopy"", ""Ultra-sonography"", ""Laparoscopy "", ""Urodynamic test""]",Ultra-sonography,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
32,160527fc-ca44-4928-976c-5c45b4415857,"Activities of abdominal examination include all except  ",1,1,"[""Palpation"", ""Percussion"", ""Probing "", ""Inspection ""]","Probing ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
33,2870164f-ae23-40c2-869f-4fc4953bd360,"In early human development, sex differentiation can be determined microscopically by the abscence or prescence of ______",1,1,"[""Chromosomes "", ""Bar bodies"", ""Mullerian inhibition factor "", ""Germ cell""]","Bar bodies",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
34,8acc775a-cace-4505-8c08-5d793b0b7f9c,"The sex of the fetus can be determined exteenally by _____ week of embryonic life",1,1,"[""14th"", ""15th"", ""16th"", ""16th""]",16th,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
35,4cf8809d-3049-4218-bc64-5c53c59b1f27,"In early development, the testes and ovary are ______ organs",1,1,"[""Abdominal "", ""Thoracic "", ""Pelvic"", ""Anal""]","Abdominal ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
36,79968bfb-e5dc-4630-be45-591ec8c48575,"The fetal testes organ begin to produce testosterone at about the _____ month of intra uterine life",1,1,"[""4th"", ""5th"", ""6th"", ""7th""]",7th,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
37,f8597531-e249-4af6-a752-640847a3f12a,"Failure of descent of the testes may result in  ",1,1,"[""Balanitis"", ""Lack of testosterone "", ""Mechanical Malfunction"", ""Undescended testes""]","Undescended testes",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
38,30ea58ae-87dc-49ab-8af2-91669239a504,"Surgical replacement and fixation of the testes in the scrotal sac ia known as ______",1,1,"[""Hernioplasty"", ""Orchidopexy"", ""Laparotomy "", ""Hermaphrodite ""]",Orchidopexy,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
39,f41724de-6a10-4f83-883d-fd7aa05c825c,"One of the following is not included in the management of Ectopic testes",1,1,"[""Hormone therapy"", ""Hermioplasty"", ""Retractive testes"", ""Orchidopexy""]","Retractive testes",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
40,8c15fa6d-cedb-4a0a-90b5-251f783dea5a,"A malformation in which the urinary meatus opens upon the undersurface of the penis is called ",1,1,"[""Hyposadias"", ""Hypostatic"", ""Hypothesis "", ""Hypotomia""]",Hyposadias,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
41,545ea00d-c069-45c4-94aa-905779786550,"A situation defined as a blood loss of greater than 80mls per cycle is called ",1,1,"[""Metrorlagia"", ""Polymenorrha"", ""Heavy menstrual bleeding"", ""Epumenorrhoea""]","Heavy menstrual bleeding",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
42,9eb2ea17-fbf0-4653-8817-e7770006493d,"The presence of endometrial tissue outside of the uterine cavity is called ______",1,1,"[""Epimenorrhoea"", ""Endometriosis "", ""Dysmenorrhea "", ""Endometriomas""]","Endometriosis ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
43,1dd2911f-2e13-4970-8490-61a5353884ad,"One of these is not a type of vaginitis in females",1,1,"[""Candida vaginitis"", ""Trichomoniasis "", ""Monilial Vaginitis"", ""Atropic Vaginitis ""]","Candida vaginitis",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
44,fc6e42cf-6a6d-4901-938e-04e4c1e39b7f,"Common routes of the spread of pelvic inflammatory disease include ghe following except ______",1,1,"[""Gonococus"", ""Staphylococcus "", ""Escherichia Coli"", ""Streptococus""]","Escherichia Coli",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
45,fd46d02e-03d2-4279-8da1-883b2005313a,"One of these is not a division of sexuality ",1,1,"[""Core gender identity"", ""Sex role act"", ""Sexual behaviour "", ""Biological sex""]","Sex role act",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
46,dc5d8ef6-f767-48ab-8f57-c2a9d4bbf5a3,"Varieties of sexual expression classified by object  choice are all except ",1,1,"[""Exhibitionism "", ""Incest"", ""Voyeurism"", ""Dyspareunia""]",Dyspareunia,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
47,2891ee0f-b8e0-4760-be49-3627a9638121,"Sexual dysfunction is a result of the following except",1,1,"[""Psychological causes"", ""Emotional Causes"", ""Interpersonal factors"", ""Physical causes""]","Emotional Causes",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
48,98c41ad5-cf54-4baf-aec1-0fd91682e870,"A stage/divivson of the sexuality which is the acting out of sexual feelings and beliefs is called _____",1,1,"[""Sex role imagery "", ""Sexual behaviour "", ""Core gender identity "", ""Biological sex""]","Sexual behaviour ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
49,9091bffe-f3a5-4d56-a001-c24586265791,"A diagnostic test used in measuring how well the bladder and urethral sphincters hold and release urine is known as ______ ",1,1,"[""Urinometer"", ""Ultra sound scan"", ""Urodynamic test"", ""Uro-dialysis test""]","Urodynamic test",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
50,ab4b44d7-9c41-40b4-a428-05d7288c9649,"A disruptive condition that occurs in response to adverse influences from the internal or external environment is called _______",1,1,"[""Steady state"", ""Stress"", ""Vasoconstriction"", ""Adaptation""]",Stress,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
51,3a8caf45-efd0-470a-a2d6-bd8908928faa,"______ decreases the output of a system",1,1,"[""Negative feed back"", ""Metaplasia"", ""Hyperplasia"", ""Positive feedback""]","Negative feed back",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
52,26ae507f-0306-4d65-b47c-e4056db566c6,"Anti-diuretic hormone is secreted by the ______________",1,1,"[""Posterior lobe of the pituitary gland"", ""Anterior lobe of the pituitary gland"", ""Ovary"", ""Adrenal cortex""]","Posterior lobe of the pituitary gland",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
53,7baf7e54-8c9d-4780-bd5f-a2cff4b2bfe2,"Increase in cell size leading to increase in organ size is referred to as _______",1,1,"[""Hypertrophy  "", ""Atrophy"", ""Dysplasia"", ""Hyperplasia""]","Hypertrophy  ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
54,592d7e04-cad7-4244-a49f-911a6aca3566,"Alterations in the epithelial cells of the cervix, producing irregular tissue changes can result into",1,1,"[""Regeneration of the cervix"", ""Malignancy "", ""Decrease in blood supply"", ""Atrophy""]","Malignancy ",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
55,502c6f49-53d8-4b5f-88a8-464418a5a78f,"The primary nursing care model involves all of the following except;",1,1,"[""It is implemented with the available staff"", ""Team work is critical to the primary care delivery system"", ""It supports collaboration through communication "", ""It eliminates team work""]","It eliminates team work",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
56,cf117ceb-bfcf-4474-992e-30fd2eff78eb,"One of the best ways to provide better overall care to a patient/client is through ______",1,1,"[""Functional nursing care"", ""Case management"", ""Holistic nursing"", ""Primary care method""]","Holistic nursing",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
57,5f22a6c4-f207-40bd-b7da-ae13bdcecf33,"In the holistic nursing theory, all living organisms are seen as ______",1,1,"[""Unified wholes are less than the sum of their parts"", ""Unified wholes are equal to the sum of their parts"", ""Interacting unified wholes"", ""Non interacting parts""]","Interacting unified wholes",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
58,3e434a54-47ff-4236-bc22-50bd0c1671aa,"The idea of caring for the entire person dates back to ______________-.",1,1,"[""Virginia Henderson"", ""Betty Neumam"", ""Florence Nightingale"", ""Dorothea Orems""]","Florence Nightingale",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
59,4b8b30db-fba5-4557-bf6d-95d8cff475f7,"_______ is not an advantage of the case method of nursing",1,1,"[""Autonomy"", ""Liability"", ""Accountability"", ""Diverse ways of care""]","Diverse ways of care",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
60,a4d52edb-7c8e-45a7-ae5e-d0a657e66210,"What is diabetes mellitus characterized by?",1,1,"[""Impaired vision"", ""Impaired hearing"", ""Impaired ability to produce or respond to insulin"", ""Impaired mobility""]","Impaired ability to produce or respond to insulin",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
61,4cdb45ac-104e-44b1-89e9-e1a639c2f9d8,"Why is diabetes mellitus referred to as ""diabetes mellitus""?",1,1,"[""It refers to Greek mythology."", ""It describes the inability to pass urine."", ""It means \"sweetened with honey\" in Latin"", ""It refers to a specific type of sugar""]","It means ""sweetened with honey"" in Latin",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
62,d4081eda-b797-4209-a0b4-0cc06199a2ff,"What are the major complications of chronic diabetes mellitus?",1,1,"[""Respiratory diseases"", ""Diseases of the liver"", ""Diseases of large and small blood vessels"", ""Infectious diseases""]","Diseases of large and small blood vessels",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
63,d50cd784-d389-40e0-8004-b8dd3108e787,"What is the leading cause of non-traumatic amputations, blindness in working-age adults, and end-stage renal disease in the United States?",1,1,"[""Cardiovascular disease"", ""Diabetes"", ""Cancer"", ""Respiratory diseases""]",Diabetes,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
64,e3bfb0f0-a254-48fe-8308-47eefcabb1cf,"Which system is responsible for the production of insulin and glucagon?",1,1,"[""Circulatory system"", ""Nervous system"", ""Digestive system"", ""Endocrine system""]","Endocrine system",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
65,65a1495a-abae-49b5-9bb5-027f78661adb,"What is the role of insulin in the body?",1,1,"[""To trigger cells to take up glucose"", ""To induce vomiting"", ""To break down proteins"", ""To increase blood pressure""]","To trigger cells to take up glucose",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
66,c92d74ef-cefa-4585-bcd5-cbcad8f8e28a,"The primary cause of Type 1 diabetes is _______",1,1,"[""Genetic mutations"", ""Immune system attacking insulin-producing cells"", ""Lack of physical activity"", ""High sugar intake""]","Immune system attacking insulin-producing cells",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
67,79abbac4-035f-4928-baef-30f54d0bd7a8,"One of these is the primary cause of Type 2 diabetes _______",1,1,"[""Genetic mutations"", ""Autoimmune response"", ""Insufficient insulin production"", ""Insulin resistance""]","Insulin resistance",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
68,fc43b268-80b4-4614-9eb9-7fe31dad252c,"What is a common risk factor for both prediabetes and Type 2 diabetes?",1,1,"[""Family history"", ""Autoimmune diseases"", ""High sugar intake "", ""Physical activity""]","Family history",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
69,8613e56b-65e9-463a-b729-7c36e45a1165,"What type of diabetes is associated with pregnancy and typically resolves after delivery?",1,1,"[""Type 1 diabetes"", ""Type 2 diabetes"", ""Gestational diabetes"", ""Prediabetes""]","Gestational diabetes",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
70,e6fa3a90-ca05-4fb8-8147-bf11e9d4a5ec,"What fasting blood glucose concentration is considered indicative of diabetes?",1,1,"[""Less than 100 mg per 100 ml"", ""Between 100 and 125 mg per 100 ml"", ""Equal to or greater than 126 mg per 100 ml"", ""Less than 70 mg per 100 ml""]","Equal to or greater than 126 mg per 100 ml",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
71,4006e8cf-bbee-4be0-9824-3e97b56b4093,"What condition is diagnosed when fasting blood glucose values range from 100 to 125 mg 100 ml?",1,1,"[""Diabetes"", ""Hyperglycemia"", ""Impaired fasting glucose (prediabetes)"", ""Hypoglycemia""]","Impaired fasting glucose (prediabetes)",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
72,7ac06a31-8ffe-4195-bef2-74db8a225fb6,"What is the primary function of insulin in the body?",1,1,"[""To lower blood pressure"", ""To stimulate appetite"", ""To trigger cells to take up glucose"", ""To produce red blood cells""]","To trigger cells to take up glucose",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
73,1aaabed8-d857-4dcb-9ea7-1d4402d29b5e,"What is the role of glucagon in the body?",1,1,"[""To lower blood glucose levels"", ""To trigger insulin release"", ""To stimulate appetite"", ""To raise blood glucose levels""]","To raise blood glucose levels",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
74,ee12034a-9595-46d9-b653-79f596b8b75e,"The normal range for glycosylated hemoglobin (HbAlc) is _____________",1,1,"[""Below 5.7 % V"", ""Between 5.7% and 6.4%"", ""Above 6.5%"", "" Below 4%""]","Below 5.7 % V",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
75,e2c3843a-7eb7-41a3-9b8b-2be29c21533d,"What is the correct term for the increased production of urine in diabetes?",1,1,"[""Polyuria"", ""Dysuria"", ""Oliguria"", ""Hematuria""]",Polyuria,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
76,34539a30-3297-4cb7-ac18-aea4461b0c64,"What is the primary cause of cardiovascular disease in individuals with diabetes?",1,1,"[""Hypertension"", ""High cholesterol"", ""Hyperglycemia"", ""Autoimmune response""]","High cholesterol",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
77,97874323-e654-4391-9fc4-3b889ba0d7ea,"What complication of diabetes can result in tingling or numbness in the hands or feet?",1,1,"[""Neuropathy"", ""Retinopathy"", ""Nephropathy"", ""Dermopathy""]",Neuropathy,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
78,f84d8f56-3a51-4877-b1d1-af2e99ac09cd,"Which complication of diabetes can lead to kidney damage and may require dialysis or transplantation?",1,1,"[""Retinopathy"", ""Neuropathy"", ""Nephropathy"", ""Dermopathy""]",Nephropathy,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
79,6045d6e1-39c6-4f48-827c-28dfca305f99,"What is a common psychological complication associated with managing diabetes?",1,1,"[""Hyperactivity"", ""Aggression"", ""Depression"", ""Insomnia""]",Depression,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
80,4a3b1e0e-8509-466a-afef-ed976ab82cf5,"Which of the following is a potential complication specifically associated with gestational diabetes?",1,1,"[""Cardiovascular disease"", ""Neuropathy"", ""Hypoglycemia in the mother"", ""Excess growth in the baby""]","Excess growth in the baby",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
81,e751dcf6-c11e-419b-b5f8-8557cf1a9e26,"What complication can babies born to mothers with gestational diabetes experience shortly after birth?",1,1,"[""Hypertension"", ""Hypoglycemia"", ""Preeclampsia"", ""Retinopathy""]",Hypoglycemia,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
82,8508ced3-3c75-41f3-86d9-9d0f1b185e0d,"What increased risk do babies of mothers with gestational diabetes have later in life?",1,1,"[""Type 1 diabetes"", ""Cardiovascular disease"", ""Preeclampsia"", ""Gestational diabetes""]","Type 1 diabetes",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
83,bfed5ecf-9b85-4211-8b68-b60562d7fd1a,"Which one of these conditions involves damage to small blood vessels in the filtering system of the kidneys?",1,1,"[""Neuropathy"", ""Retinopathy"", ""Nephropathy"", ""Dermopathy""]",Nephropathy,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
84,cce08fa3-f3f4-4e05-bd93-d3b656f57317,"What percentage of people with type 1 diabetes may die before the age of 40, according to the general statistical prognosis?",1,1,"[0.05, 0.1, 0.15, 0.2]",0.15,1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
85,e4329215-031e-485e-b369-4d691f457b16,"What lifestyle measures are effective in preventing or delaying the onset of type 2 diabetes?",1,1,"[""Smoking and low physical activity"", ""Obesity and high sugar intake"", ""Healthy body weight, physical activity, healthy diet, and avoiding tobacco use"", ""Regular alcohol consumption""]","Healthy body weight, physical activity, healthy diet, and avoiding tobacco use",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
86,b9e7e8b1-cfd0-4822-b3fb-5927d48d9204,"What is the primary goal of diabetes treatment?",1,1,"[""To normalize insulin activity"", ""To lower blood pressure"", ""To stimulate appetite"", ""To cure the condition""]","To normalize insulin activity",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
87,7d95e393-a779-4a33-b5cf-2572c8d08447,"What is the mainstay of insulin therapy?",1,1,"[""Insulin pump therapy"", ""Weekly contacts with diabetes educators"", ""Self-monitoring blood glucose (SMBG)"", ""ACE inhibitor treatment""]","Self-monitoring blood glucose (SMBG)",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
88,8ff7d0f6-e81c-4cb6-872d-8a4a68f447de,"Which complication of diabetes may require three to four insulin injections per day, frequent blood glucose monitoring, and weekly contacts with healthcare professionals?",1,1,"[""Cardiovascular disease"", ""Neuropathy"", ""Intensive treatment"", ""Nephropathy""]","Intensive treatment",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
89,eb8513de-2cd1-40df-9b1e-21b92731df0d,"What is the recommended pre-meal blood sugar target for individuals with diabetes?",1,1,"[""60 mg/dL"", ""120 mg/dl"", ""170 mg/dL"", ""220 mg/dL""]","120 mg/dl",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
90,4e03644e-d25b-4eec-9029-5baf408b892e,"How much does 1 unit of insulin decrease blood sugar levels, according to the chart?",1,1,"[""10 points"", ""20 points"", ""30 points"", ""50 points""]","50 points",1,2,1,0,"2023-09-18 10:11:14","2023-09-18 10:11:14"
